test_title,client_name,run_duration_ms,ingestion_timestamp,test_file,test_name,test_opcode,test_params,block_limit_million,opcount
test_alt_bn128.py::test_alt_bn128[fork_Osaka-blockchain_test-bn128_add-benchmark-gas-value_10M],ethrex-v9.0.0__zisk-v0.15.0,26545,2026-03-18 07:55:59.086879552+00:00,test_alt_bn128,test_alt_bn128,ECADD,bn128_add,10,37227.0
test_alt_bn128.py::test_alt_bn128[fork_Osaka-blockchain_test-bn128_add_1_2-benchmark-gas-value_10M],ethrex-v9.0.0__zisk-v0.15.0,25244,2026-03-16 10:56:33.017605577+00:00,test_alt_bn128,test_alt_bn128,ECADD,bn128_add_1_2,10,37232.0
test_alt_bn128.py::test_alt_bn128[fork_Osaka-blockchain_test-bn128_add_infinities-benchmark-gas-value_10M],ethrex-v9.0.0__zisk-v0.15.0,10329,2026-03-16 20:34:18.847971224+00:00,test_alt_bn128,test_alt_bn128,ECADD,bn128_add_infinities,10,37233.0
test_alt_bn128.py::test_alt_bn128[fork_Osaka-blockchain_test-bn128_one_pairing-benchmark-gas-value_10M],ethrex-v9.0.0__zisk-v0.15.0,16841,2026-03-17 17:21:52.921016958+00:00,test_alt_bn128,test_alt_bn128,ECPAIRING,bn128_one_pairing,10,128.0
test_alt_bn128.py::test_alt_bn128[fork_Osaka-blockchain_test-bn128_two_pairings-benchmark-gas-value_10M],ethrex-v9.0.0__zisk-v0.15.0,15037,2026-03-16 21:37:58.284584271+00:00,test_alt_bn128,test_alt_bn128,ECPAIRING,bn128_two_pairings,10,90.0
test_alt_bn128.py::test_alt_bn128[fork_Osaka-blockchain_test-ec_pairing_1_pair-benchmark-gas-value_10M],ethrex-v9.0.0__zisk-v0.15.0,4025,2026-03-18 10:26:44.776063973+00:00,test_alt_bn128,test_alt_bn128,ECPAIRING,ec_pairing_1_pair,10,223.0
test_alt_bn128.py::test_alt_bn128[fork_Osaka-blockchain_test-ec_pairing_1_pair_empty-benchmark-gas-value_10M],ethrex-v9.0.0__zisk-v0.15.0,4024,2026-03-16 16:39:13.991228844+00:00,test_alt_bn128,test_alt_bn128,ECPAIRING,ec_pairing_1_pair_empty,10,4.0
test_alt_bn128.py::test_alt_bn128[fork_Osaka-blockchain_test-ec_pairing_2_pair-benchmark-gas-value_10M],ethrex-v9.0.0__zisk-v0.15.0,14633,2026-03-16 05:54:26.859405621+00:00,test_alt_bn128,test_alt_bn128,ECPAIRING,ec_pairing_2_pair,10,90.0
test_alt_bn128.py::test_alt_bn128[fork_Osaka-blockchain_test-ec_pairing_2_sets-benchmark-gas-value_10M],ethrex-v9.0.0__zisk-v0.15.0,3925,2026-03-15 21:42:15.340383168+00:00,test_alt_bn128,test_alt_bn128,ECPAIRING,ec_pairing_2_sets,10,4.0
test_alt_bn128.py::test_alt_bn128[fork_Osaka-blockchain_test-ec_pairing_3_pair-benchmark-gas-value_10M],ethrex-v9.0.0__zisk-v0.15.0,3926,2026-03-16 01:12:06.582555434+00:00,test_alt_bn128,test_alt_bn128,ECPAIRING,ec_pairing_3_pair,10,4.0
test_alt_bn128.py::test_alt_bn128[fork_Osaka-blockchain_test-ec_pairing_4_pair-benchmark-gas-value_10M],ethrex-v9.0.0__zisk-v0.15.0,167211,2026-03-16 20:57:31.594763235+00:00,test_alt_bn128,test_alt_bn128,ECPAIRING,ec_pairing_4_pair,10,57.0
test_alt_bn128.py::test_alt_bn128[fork_Osaka-blockchain_test-ec_pairing_5_pair-benchmark-gas-value_10M],ethrex-v9.0.0__zisk-v0.15.0,12130,2026-03-18 01:46:46.023506773+00:00,test_alt_bn128,test_alt_bn128,ECPAIRING,ec_pairing_5_pair,10,48.0
test_alt_bn128.py::test_alt_bn128[fork_Osaka-blockchain_test-ec_pairing_zero_input-benchmark-gas-value_10M],ethrex-v9.0.0__zisk-v0.15.0,4123,2026-03-16 17:26:39.642689767+00:00,test_alt_bn128,test_alt_bn128,ECPAIRING,ec_pairing_zero_input,10,223.0
test_alt_bn128.py::test_alt_bn128_benchmark[fork_Osaka-blockchain_test-num_pairs_1-benchmark-gas-value_10M],ethrex-v9.0.0__zisk-v0.15.0,16637,2026-03-17 15:00:03.056717935+00:00,test_alt_bn128,test_alt_bn128_benchmark,ECPAIRING,num_pairs_1,10,128.0
