test_title,client_name,run_duration_ms,ingestion_timestamp,test_file,test_name,test_opcode,test_params,block_limit_million,opcount
test_account_query.py::test_codecopy[fork_Osaka-blockchain_test-fixed_src_dst_False-0 bytes-benchmark-gas-value_10M],ethrex-v9.0.0__zisk-v0.15.0,18740,2026-03-16 19:25:01.982432681+00:00,test_account_query,test_codecopy,CODECOPY,fixed_src_dst_False-0 bytes,10,383735.0
test_account_query.py::test_codecopy[fork_Osaka-blockchain_test-fixed_src_dst_False-0.25x max code size-benchmark-gas-value_10M],ethrex-v9.0.0__zisk-v0.15.0,6637,2026-03-16 05:53:31.675617095+00:00,test_account_query,test_codecopy,CODECOPY,fixed_src_dst_False-0.25x max code size,10,16576.0
test_account_query.py::test_codecopy[fork_Osaka-blockchain_test-fixed_src_dst_False-0.50x max code size-benchmark-gas-value_10M],ethrex-v9.0.0__zisk-v0.15.0,6926,2026-03-18 09:53:43.748417488+00:00,test_account_query,test_codecopy,CODECOPY,fixed_src_dst_False-0.50x max code size,10,8470.0
test_account_query.py::test_codecopy[fork_Osaka-blockchain_test-fixed_src_dst_False-0.75x max code size-benchmark-gas-value_10M],ethrex-v9.0.0__zisk-v0.15.0,160701,2026-03-17 08:17:36.125153718+00:00,test_account_query,test_codecopy,CODECOPY,fixed_src_dst_False-0.75x max code size,10,5688.0
test_account_query.py::test_codecopy[fork_Osaka-blockchain_test-fixed_src_dst_False-max code size-benchmark-gas-value_10M],ethrex-v9.0.0__zisk-v0.15.0,12632,2026-03-17 21:38:39.847131965+00:00,test_account_query,test_codecopy,CODECOPY,fixed_src_dst_False-max code size,10,4282.0
test_account_query.py::test_codecopy[fork_Osaka-blockchain_test-fixed_src_dst_True-0 bytes-benchmark-gas-value_10M],ethrex-v9.0.0__zisk-v0.15.0,7626,2026-03-16 19:26:29.611113624+00:00,test_account_query,test_codecopy,CODECOPY,fixed_src_dst_True-0 bytes,10,831380.0
test_account_query.py::test_codecopy[fork_Osaka-blockchain_test-fixed_src_dst_True-0.25x max code size-benchmark-gas-value_10M],ethrex-v9.0.0__zisk-v0.15.0,8126,2026-03-17 04:41:33.303722525+00:00,test_account_query,test_codecopy,CODECOPY,fixed_src_dst_True-0.25x max code size,10,16970.0
test_account_query.py::test_codecopy[fork_Osaka-blockchain_test-fixed_src_dst_True-0.50x max code size-benchmark-gas-value_10M],ethrex-v9.0.0__zisk-v0.15.0,5224,2026-03-16 20:17:23.148420758+00:00,test_account_query,test_codecopy,CODECOPY,fixed_src_dst_True-0.50x max code size,10,8572.0
test_account_query.py::test_codecopy[fork_Osaka-blockchain_test-fixed_src_dst_True-0.75x max code size-benchmark-gas-value_10M],ethrex-v9.0.0__zisk-v0.15.0,6126,2026-03-15 21:55:50.724953637+00:00,test_account_query,test_codecopy,CODECOPY,fixed_src_dst_True-0.75x max code size,10,5734.0
test_account_query.py::test_codecopy[fork_Osaka-blockchain_test-fixed_src_dst_True-max code size-benchmark-gas-value_10M],ethrex-v9.0.0__zisk-v0.15.0,8426,2026-03-17 06:34:57.653859088+00:00,test_account_query,test_codecopy,CODECOPY,fixed_src_dst_True-max code size,10,4308.0
test_account_query.py::test_codecopy_benchmark[fork_Osaka-blockchain_test-code_size_0-mem_size_0-benchmark-gas-value_10M],ethrex-v9.0.0__zisk-v0.15.0,8628,2026-03-18 10:12:57.109676903+00:00,test_account_query,test_codecopy_benchmark,CODECOPY,code_size_0-mem_size_0,10,997676.0
