opcode,client_name,test_name,nobs,intercept,intercept_pvalue,rsquared,rsquared_adj,slope,slope_pvalue,slope_conf_int_low,slope_conf_int_high,msg_size,msg_size_pvalue,msg_size_conf_int_low,msg_size_conf_int_high,num_rounds,num_rounds_pvalue,num_rounds_conf_int_low,num_rounds_conf_int_high,num_pairs,num_pairs_pvalue,num_pairs_conf_int_low,num_pairs_conf_int_high
MULMOD,ethrex-v9.0.0__zisk-v0.15.0,test_arithmetic,6,2505.8626962346602,0.0,0.9937154559061372,0.9921443198826715,0.005188248924650665,0.0,0.004717380980039428,0.005698590594548794,,,,,,,,,,,,
MULMOD,ethrex-v9.0.0__zisk-v0.15.0,test_mod_arithmetic,24,2013.5347791652987,0.0,0.9906989969166984,0.9902762240492756,0.018783138648716478,0.0,0.017949750051337303,0.01953301685646196,,,,,,,,,,,,
MULMOD,reth-v1.11.0__zisk-v0.15.0,test_arithmetic,6,3201.6368085029385,0.016,0.977377909151003,0.9717223864387537,0.01610960392926322,0.0,0.012317819382730629,0.019667117696675587,,,,,,,,,,,,
MULMOD,reth-v1.11.0__zisk-v0.15.0,test_mod_arithmetic,15,7031.09279287895,0.017,0.8647222412789187,0.8543162598388355,0.03829810452404388,0.0,0.03275460680641784,0.04831774831267974,,,,,,,,,,,,
ADDMOD,ethrex-v9.0.0__zisk-v0.15.0,test_arithmetic,6,2248.2312336585596,0.0,0.9971233968680652,0.9964042460850815,0.005997147057847539,0.0,0.0055999216327341185,0.00644954894927594,,,,,,,,,,,,
ADDMOD,ethrex-v9.0.0__zisk-v0.15.0,test_mod_arithmetic,11,9188.512192000368,0.033,0.8219461170935385,0.8021623523261538,0.047373122693599286,0.0,0.0378967263415328,0.06353405503919551,,,,,,,,,,,,
ADDMOD,reth-v1.11.0__zisk-v0.15.0,test_arithmetic,6,3264.4704760025334,0.0,0.9975229573891528,0.996903696736441,0.013625769494735672,0.0,0.012566817148816791,0.014638182611067497,,,,,,,,,,,,
ADDMOD,reth-v1.11.0__zisk-v0.15.0,test_mod_arithmetic,24,0.0,1.0,0.4112760699113167,0.384515891270922,0.03833575023262991,0.0,0.029568517924684835,0.052345161024327194,,,,,,,,,,,,
MOD,ethrex-v9.0.0__zisk-v0.15.0,test_arithmetic,6,2318.6348343321024,0.0,0.9987473352510943,0.9984341690638678,0.004365177085936208,0.0,0.004149797727441365,0.004523493214973632,,,,,,,,,,,,
MOD,ethrex-v9.0.0__zisk-v0.15.0,test_mod,9,9181.82995839069,0.04,0.8175179504804535,0.7914490862633754,0.028031596070004793,0.001,0.020215137965491133,0.03873428989559911,,,,,,,,,,,,
MOD,reth-v1.11.0__zisk-v0.15.0,test_arithmetic,6,5630.900401204162,0.001,0.9877078279207842,0.9846347849009802,0.011400226549336066,0.0,0.010110468213285309,0.012780673060590265,,,,,,,,,,,,
MOD,reth-v1.11.0__zisk-v0.15.0,test_mod,22,5561.964205920171,0.079,0.21140913546824258,0.17197959224165482,0.016609990752048616,0.001,0.011651289387302196,0.025573582136798036,,,,,,,,,,,,
SMOD,ethrex-v9.0.0__zisk-v0.15.0,test_arithmetic,6,2415.9834720540016,0.0,0.9891698281786431,0.9864622852233038,0.0033807745129979215,0.0,0.003171980748131751,0.0038701274975004108,,,,,,,,,,,,
SMOD,ethrex-v9.0.0__zisk-v0.15.0,test_mod,9,9555.873166379795,0.019,0.8513206929393461,0.8300807919306812,0.02726248243560717,0.001,0.019771610730251882,0.036377233747090267,,,,,,,,,,,,
SMOD,reth-v1.11.0__zisk-v0.15.0,test_arithmetic,6,802.9971124163359,0.297,0.9792109329767317,0.9740136662209146,0.015371614638646948,0.0,0.012986981107487316,0.016410993021988694,,,,,,,,,,,,
